user_id,conversation_id,conversation_timestamp,Topic_Label_Fine,Topic_Label_Coarse,asking_doing_expressing,work_coursework_personal,Multitasking,Complete_task_alone,User_Education,AI_Education,Clustering_Topic,Clustering_Topic_Theme,success_label,human_time_estimation,interaction_time_estimation,conversation_language,n_turns,avg_user_text_len,avg_asst_text_len,models_used
24793277,69430087-6494-8332-afbd-b476c20f1bb4,1765998779.809736,personal_writing_or_communication,Writing,Doing,Personal,Yes,No,12.0,12.0,Self-Reflection & Emotions,Health/Medical,No,0.0,4.0,en,2.0,570.5,505.6666666666667,gpt-5-2
24793277,694193ac-ccfc-8328-9a4d-328a5995dad5,1765906789.267,how_to_advice,Practical Guidance,Asking,Work,No,Yes,6.0,12.0,Online Earning,Finance/Earning,No,5.0,240.0,en,27.0,103.37037037037037,1069.103448275862,gpt-5-2
24793277,694189d9-d15c-832d-a138-908b4e501d99,1765902986.088,specific_info,Seeking Information,Expressing,Personal,No,Yes,9.0,10.0,Finance & Banking,Finance/Earning,No,1.0,7.0,other,4.0,90.75,835.3333333333334,gpt-5-2
24793277,6941566d-6124-8331-b063-b66333f6189e,1765891680.145,how_to_advice,Practical Guidance,Asking,Work,No,Yes,6.0,10.0,Online Earning,Finance/Earning,No,1.0,2.0,other,2.0,29.5,1372.3333333333333,gpt-5-2
24793277,6940adfe-618c-8332-93a2-a03b50619ab0,1765846710.918,personal_writing_or_communication,Writing,Expressing,Personal,No,Yes,6.0,10.0,Self-Reflection & Emotions,Health/Medical,No,0.0,13.0,other,3.0,158.0,1072.5,gpt-5-2
24793277,69400cd3-28ec-8331-99b1-65485e3abcf4,1765808322.821,personal_writing_or_communication,Writing,Doing,Work,No,Yes,8.0,12.0,Online Earning,Finance/Earning,No,6.0,22.0,other,13.0,197.07692307692307,1493.6470588235295,gpt-5-2
24793277,69400043-be6c-832a-bfe3-881b1745342a,1765802073.564,purchasable_products,Seeking Information,Asking,Personal,No,Yes,6.0,6.0,Freelance Costs,Finance/Earning,No,2.0,3.0,other,1.0,106.0,1430.3333333333333,gpt-5-2
24793277,693f010a-6694-8329-9143-da42095ce148,1765736763.875,health_fitness_beauty_or_self_care,Practical Guidance,Asking,Personal,No,Yes,6.0,6.0,Cooking & Diet,Health/Medical,No,0.0,4.0,other,1.0,276.0,1207.5,gpt-5-2
24793277,693d73a3-0cfc-8333-84b9-05c01db07206,1765636059.114,how_to_advice,Practical Guidance,Expressing,Work,No,Yes,12.0,15.0,Freelance Costs,Finance/Earning,No,2.0,30.0,other,9.0,122.66666666666669,2632.9,gpt-5-2
24793277,693c7a26-4b68-8327-bf2f-e73bfdbbe1dc,1765572020.336,how_to_advice,Practical Guidance,Asking,Personal,No,Yes,12.0,12.0,Tech Help,Programming/Tech,No,2.0,30.0,other,7.0,221.1428571428572,1363.625,gpt-5-1
