user_id,conversation_id,conversation_timestamp,Topic_Label_Fine,Topic_Label_Coarse,asking_doing_expressing,work_coursework_personal,Multitasking,Complete_task_alone,User_Education,AI_Education,Clustering_Topic,Clustering_Topic_Theme,success_label,human_time_estimation,interaction_time_estimation,conversation_language,n_turns,avg_user_text_len,avg_asst_text_len,models_used
13391811,6913e608-a360-8320-b63f-f0c8f9956a51,1762911955.501535,personal_writing_or_communication,Writing,Doing,Personal,No,Yes,6.0,8.0,YouTube Strategy,Content Creation,Yes,2.0,13.0,en,8.0,21.875,1410.7777777777778,gpt-5
13391811,68b92385-29fc-8321-a30c-6cbbffaeb3ab,1756963986.855,other,Other/Unknown,Doing,Work,No,Yes,8.0,12.0,,,Yes,0.0,7.0,en,6.0,1620.5,354.6363636363636,gpt-5
13391811,68abd7cd-42cc-8330-9dec-8edf80cb025a,1756092433.746924,unclear,Other/Unknown,Expressing,Personal,No,Yes,0.0,6.0,,,Yes,0.0,2.0,other,2.0,0.0,364.6666666666667,gpt-5
13391811,689ff3a6-d978-832a-8666-7133ed09bbf7,1755313203.282581,unclear,Other/Unknown,Expressing,Coursework,Yes,Yes,8.0,12.0,,,No,0.0,6.0,en,5.0,6.4,567.1666666666666,gpt-5
13391811,689f427f-97c8-832f-9ffa-12fc8e8a24c5,1755267740.927175,unclear,Other/Unknown,Expressing,Personal,No,Yes,0.0,0.0,,,No,0.0,1.0,other,1.0,22.0,357.0,gpt-5
13391811,689ef03f-9154-8330-8c40-3179514a26a7,1755246669.079744,unclear,Other/Unknown,Expressing,Personal,No,Yes,0.0,0.0,,,No,0.0,0.0,other,1.0,0.0,362.0,gpt-5
13391811,689cb1a1-6124-8329-b018-090d99370d8b,1755099597.768441,health_fitness_beauty_or_self_care,Practical Guidance,Doing,Personal,No,Yes,6.0,12.0,Health & Wellness,Health/Medical,No,0.0,2.0,en,2.0,24.5,681.6666666666666,gpt-5
13391811,689a1b7d-9860-8332-b9e5-16b90011358b,1754931284.438839,translation,Writing,Doing,Coursework,No,Yes,6.0,8.0,Mathematics,Education/Academic,No,1.0,6.0,en,5.0,24.8,440.6666666666667,gpt-5
13391811,68901eff-60d0-800e-be5b-4896aa5922d7,1754275683.738143,unclear,Other/Unknown,Expressing,Personal,No,Yes,0.0,8.0,,,Yes,0.0,1.0,other,2.0,0.0,226.3333333333333,gpt-4o
13391811,68839395-2e5c-800e-bb5b-1dca4151c7c1,1753453596.966087,specific_info,Seeking Information,Asking,,,,6.0,10.0,Finance & Banking,Finance/Earning,No,0.0,3.0,en,2.0,10.0,692.6666666666666,gpt-4o
13391811,6879245e-a490-800e-853b-3df9f45cdca0,1752769631.476632,unclear,Other/Unknown,Expressing,Personal,No,Yes,0.0,0.0,,,No,0.0,1.0,other,1.0,0.0,983.0,gpt-4o
13391811,6872bb32-80d8-800e-9fb2-41e72a3612d0,1752351354.10891,unclear,Other/Unknown,Expressing,Personal,Yes,Yes,6.0,10.0,Mathematics,Education/Academic,No,0.0,16.0,en,10.0,15.4,857.6666666666666,gpt-4o
13391811,6871f5cc-42b8-800e-8724-cb922622f996,1752298957.629178,unclear,Other/Unknown,Expressing,Personal,No,Yes,0.0,0.0,,,No,0.0,0.0,other,1.0,0.0,733.5,gpt-4o
